postcode,address_house,address_street,state,country,property_valuation
2233,32, Steensland Plaza,NSW,Australia,9
4811,107, Elmside Parkway,QLD,Australia,5
2085,2, Gina Junction,NSW,Australia,11
3084,4, Londonderry Lane,VIC,Australia,10
3170,39716, Vera Junction,VIC,Australia,9
2066,183, Ronald Regan Street,NSW,Australia,9
4113,2, Thierer Road,QLD,Australia,8
4078,056, Stone Corner Alley,QLD,Australia,7
2222,528, Mandrake Crossing,NSW,Australia,11
3152,19969, ,VIC,Australia,9
2159,78, Rockefeller Park,NSW,Australia,10
4503,417, Transport Trail,QLD,Australia,4
4655,6327, Lunder Crossing,QLD,Australia,4
4220,811, Tony Road,QLD,Australia,9
4012,0, Northport Court,QLD,Australia,3
2153,231, Havey Court,NSW,Australia,10
2070,603, Kenwood Avenue,NSW,Australia,11
2015,09040, Myrtle Parkway,NSW,Australia,8
2776,05241, Shelley Park,NSW,Australia,8
3011,7, Pankratz Point,VIC,Australia,8
2761,51, Crescent Oaks Parkway,NSW,Australia,8
2015,49, Emmet Junction,NSW,Australia,11
2502,78, Surrey Place,NSW,Australia,7
2110,6236, Summerview Terrace,NSW,Australia,12
2566,682, Sheridan Avenue,NSW,Australia,9
2519,04139, Delladonna Place,NSW,Australia,7
2506,2, Scott Circle,NSW,Australia,9
2209,92253, Kensington Drive,NSW,Australia,7
2116,93, Westend Terrace,NSW,Australia,10
2075,4, ,NSW,Australia,11
2226,11667, Blackbird Street,NSW,Australia,10
2145,0, Sommers Circle,NSW,Australia,9
2508,2, Northridge Street,NSW,Australia,10
2036,816, Spohn Center,NSW,Australia,10
2018,98, Service Court,NSW,Australia,8
3666,6, Morning Park,VIC,Australia,2
2021,4263, Hanson Place,NSW,Australia,11
2750,6159, Katie Street,NSW,Australia,8
4514,95, Eliot Street,QLD,Australia,3
2525,0, Westend Park,NSW,Australia,9
4152,39988, Porter Pass,QLD,Australia,7
2200,0796, Melody Park,NSW,Australia,9
2250,2914, Vahlen Lane,NSW,Australia,8
3023,65, Kinsman Trail,VIC,Australia,6
3500,07227, Hoard Terrace,VIC,Australia,1
4300,25503, Evergreen Drive,QLD,Australia,5
2283,2, ,NSW,Australia,4
2102,122, Melrose Drive,NSW,Australia,10
2204,37024, Anniversary Place,NSW,Australia,11
2040,91141, Huxley Parkway,NSW,Australia,10
2749,04, Fallview Trail,NSW,Australia,8
2304,8029, Gulseth Center,NSW,Australia,7
2340,77248, Columbus Drive,NSW,Australia,7
3580,0850, Schmedeman Drive,VIC,Australia,1
3355,131, Northfield Parkway,VIC,Australia,2
2287,5130, Manley Court,NSW,Australia,7
2324,879, Coolidge Point,NSW,Australia,5
2323,6759, Nevada Point,NSW,Australia,6
2320,8208, Parkside Point,NSW,Australia,6
4680,15, Straubel Way,QLD,Australia,2
2346,7, Eastlawn Street,NSW,Australia,1
2031,42067, Duke Terrace,NSW,Australia,10
2064,50, Everett Way,NSW,Australia,9
2176,454, Green Ridge Avenue,NSW,Australia,10
3195,19220, Evergreen Crossing,VIC,Australia,9
2010,109, Tomscot Avenue,NSW,Australia,10
2768,48, Arizona Drive,NSW,Australia,10
2752,92, Lyons Place,NSW,Australia,9
3802,47, Jana Junction,VIC,Australia,7
3071,90173, Oneill Place,VIC,Australia,10
4735,6262, Elgar Avenue,QLD,Australia,2
2065,5668, Corscot Circle,NSW,Australia,12
3081,8, Texas Plaza,VIC,Australia,9
3205,32062, Oak Terrace,VIC,Australia,8
2165,07158, Roth Pass,NSW,Australia,4
3125,370, Portage Parkway,VIC,Australia,8
4214,19795, Bultman Circle,QLD,Australia,8
2030,3, Corscot Crossing,NSW,Australia,12
2036,34, Kim Center,NSW,Australia,11
2767,8, Starling Pass,NSW,Australia,8
2798,36, Vidon Parkway,NSW,Australia,6
4211,8, Riverside Place,QLD,Australia,5
4508,28604, Bellgrove Circle,QLD,Australia,6
2032,2, Cottonwood Road,NSW,Australia,11
2117,58, Parkside Hill,NSW,Australia,12
4551,747, Thackeray Circle,QLD,Australia,7
2765,5583, Prairie Rose Trail,NSW,Australia,8
3064,071, Cardinal Point,VIC,Australia,7
2023,7169, North Lane,NSW,Australia,9
2766,6923, Tennessee Circle,NSW,Australia,9
3810,8207, Cascade Court,VIC,Australia,5
4151,2, Brentwood Place,QLD,Australia,8
2830,00, ,NSW,Australia,2
3030,807, Beilfuss Crossing,VIC,Australia,7
4812,76, Graedel Street,QLD,Australia,6
2141,29886, Crownhardt Crossing,NSW,Australia,8
3810,1, Drewry Junction,VIC,Australia,7
3029,83, Brickson Park Drive,VIC,Australia,8
2173,95, Almo Junction,NSW,Australia,9
3199,08, Golf View Plaza,VIC,Australia,9
2320,6170, Buena Vista Way,NSW,Australia,7
4506,0, Orin Place,QLD,Australia,7
2516,20924, Banding Crossing,NSW,Australia,9
2035,91193, Petterle Road,NSW,Australia,11
2747,01459, Fremont Place,NSW,Australia,4
3030,58, Spenser Circle,VIC,Australia,3
3152,93, Lawn Park,VIC,Australia,9
3340,5982, Mosinee Avenue,VIC,Australia,5
3182,37006, Hoard Circle,VIC,Australia,7
2450,06, Corry Pass,NSW,Australia,9
2227,099, Nova Plaza,NSW,Australia,10
2216,252, Mockingbird Plaza,NSW,Australia,10
3796,990, Kensington Park,VIC,Australia,8
3064,706, Anniversary Alley,VIC,Australia,3
3197,52, Corben Place,VIC,Australia,10
3064,4270, Loeprich Lane,VIC,Australia,7
2232,2, Clyde Gallagher Drive,NSW,Australia,10
2365,671, American Ash Way,NSW,Australia,2
2747,93, American Ash Avenue,NSW,Australia,8
4701,1108, Nevada Junction,QLD,Australia,2
4503,41, Spaight Road,QLD,Australia,5
4350,5, Schurz Place,QLD,Australia,6
4210,82, ,QLD,Australia,9
2223,84, Lawn Way,NSW,Australia,9
4122,0, Coolidge Avenue,QLD,Australia,8
2515,0, Graceland Plaza,NSW,Australia,10
4214,8717, Mandrake Place,QLD,Australia,8
3437,2, Thierer Lane,VIC,Australia,8
3338,19507, Red Cloud Park,VIC,Australia,4
2203,3, Golf Course Avenue,NSW,Australia,9
2088,042, Bunker Hill Avenue,NSW,Australia,8
4226,45793, Nancy Plaza,QLD,Australia,8
4213,314, Northland Plaza,QLD,Australia,5
3356,3093, Mockingbird Place,VIC,Australia,2
3223,82, Mcbride Trail,VIC,Australia,6
3032,24044, Bonner Hill,VIC,Australia,8
3105,1, Rowland Circle,VIC,Australia,10
3101,7, Arapahoe Pass,VIC,Australia,12
2763,7905, Spaight Alley,NSW,Australia,8
2089,8, Grayhawk Circle,NSW,Australia,10
2759,3, Lyons Road,NSW,Australia,8
2040,72419, Eagan Road,NSW,Australia,10
2126,6860, Green Ridge Avenue,NSW,Australia,11
2147,85, Straubel Park,NSW,Australia,9
2251,08, Ronald Regan Plaza,NSW,Australia,9
2155,44621, Linden Drive,NSW,Australia,10
2153,3, Moulton Lane,NSW,Australia,9
2768,7633, Mayer Plaza,NSW,Australia,10
3127,98, Westerfield Trail,VIC,Australia,11
3087,1826, Hazelcrest Park,VIC,Australia,9
3131,98, Sutteridge Point,VIC,Australia,10
4350,6, Sunbrook Center,QLD,Australia,6
3134,143, Elka Circle,VIC,Australia,9
2830,0293, Porter Crossing,NSW,Australia,5
2193,7447, Nevada Park,NSW,Australia,8
4055,7, Park Meadow Drive,QLD,Australia,3
3199,780, Carberry Place,VIC,Australia,9
2170,5337, Dennis Pass,NSW,Australia,9
2322,7, Debs Point,NSW,Australia,4
2530,708, Russell Parkway,NSW,Australia,7
2075,66286, Homewood Alley,NSW,Australia,11
2340,8728, Express Way,NSW,Australia,7
2066,93583, Moland Way,NSW,Australia,12
4217,18264, Maryland Way,QLD,Australia,9
4020,411, Homewood Lane,QLD,Australia,5
2096,8, Mariners Cove Drive,NSW,Australia,10
2179,279, Jenna Circle,NSW,Australia,12
4127,382, Maywood Parkway,QLD,Australia,6
3130,6085, Petterle Circle,VIC,Australia,10
4570,06324, Michigan Trail,QLD,Australia,4
3215,92808, Mallard Terrace,VIC,Australia,4
3101,841, Anderson Drive,VIC,Australia,8
3931,67884, Fair Oaks Parkway,VIC,Australia,9
3165,1823, Judy Center,VIC,Australia,10
2166,953, Eliot Crossing,NSW,Australia,9
3936,90761, Shasta Pass,VIC,Australia,7
2265,259, Barnett Crossing,NSW,Australia,5
2203,0, Brown Trail,NSW,Australia,9
3034,3467, Prairie Rose Lane,VIC,Australia,7
4670,24, Scoville Parkway,QLD,Australia,1
2062,010, Namekagon Parkway,NSW,Australia,12
2162,99826, Steensland Avenue,NSW,Australia,5
4170,28809, Mesta Pass,QLD,Australia,8
3033,201, Randy Parkway,VIC,Australia,7
2170,58211, Surrey Crossing,NSW,Australia,9
2749,720, Menomonie Avenue,NSW,Australia,8
2144,4604, Cordelia Drive,NSW,Australia,10
3805,3788, Service Trail,VIC,Australia,8
2047,8, Holy Cross Center,NSW,Australia,9
2100,740, Calypso Drive,NSW,Australia,10
2642,9457, Arizona Plaza,NSW,Australia,2
3228,75, Bartillon Street,VIC,Australia,8
2145,7, Reinke Junction,NSW,Australia,10
2287,7343, Washington Road,NSW,Australia,5
3444,3, Valley Edge Trail,VIC,Australia,7
2076,32, Farragut Avenue,NSW,Australia,11
4124,5, Florence Hill,QLD,Australia,7
3191,095, Prairieview Circle,VIC,Australia,12
4305,47226, Algoma Place,QLD,Australia,3
3195,564, Northview Junction,VIC,Australia,11
2579,5359, Alpine Hill,NSW,Australia,5
2835,586, Miller Parkway,NSW,Australia,1
3337,32571, Dixon Center,VIC,Australia,3
2536,333, Bunting Crossing,NSW,Australia,4
2770,1, Red Cloud Street,NSW,Australia,8
2646,07, New Castle Circle,NSW,Australia,1
2756,78152, Harper Parkway,NSW,Australia,8
3133,981, West Way,VIC,Australia,10
2066,8, Monterey Plaza,NSW,Australia,9
2750,25, Graceland Way,NSW,Australia,8
2750,41605, Mitchell Street,NSW,Australia,8
4558,42, Upham Pass,QLD,Australia,3
2211,17, Sunfield Road,NSW,Australia,9
2570,84549, Jenifer Crossing,NSW,Australia,8
2170,5449, Jenna Road,NSW,Australia,9
4552,05, Butternut Crossing,QLD,Australia,4
3082,7427, Fuller Trail,VIC,Australia,8
2360,713, Eastwood Terrace,NSW,Australia,1
4223,7526, Artisan Parkway,QLD,Australia,8
3183,3, Oriole Place,VIC,Australia,7
2330,690, Hanson Center,NSW,Australia,3
2031,509, Fisk Hill,NSW,Australia,11
4370,27, Petterle Center,QLD,Australia,2
3150,3, Annamark Avenue,VIC,Australia,11
2549,311, Dapin Point,NSW,Australia,3
3040,15082, Crest Line Plaza,VIC,Australia,8
2065,1, Carey Pass,NSW,Australia,11
2065,8, Moland Pass,NSW,Australia,10
2340,25386, Fallview Place,NSW,Australia,3
4209,8078, Talisman Trail,QLD,Australia,7
4173,6920, Dwight Circle,QLD,Australia,7
2065,9, Lukken Parkway,NSW,Australia,10
3204,09, Graceland Junction,VIC,Australia,2
2210,155, Basil Junction,NSW,Australia,10
2068,4284, Surrey Circle,NSW,Australia,12
2085,4, Almo Plaza,NSW,Australia,10
3064,91, Porter Pass,VIC,Australia,7
3074,007, Gerald Place,VIC,Australia,4
3806,8788, Armistice Trail,VIC,Australia,8
2259,1693, Artisan Hill,NSW,Australia,6
2260,532, Emmet Way,NSW,Australia,8
4074,3, Sutteridge Park,QLD,Australia,6
4215,25522, Mosinee Point,QLD,Australia,7
2160,421, Bobwhite Road,NSW,Australia,6
3008,41, Ronald Regan Center,VIC,Australia,5
2217,3, Loomis Crossing,NSW,Australia,9
2213,93, Jana Junction,NSW,Australia,10
2748,528, Buell Crossing,NSW,Australia,10
2567,261, Northport Lane,NSW,Australia,7
2096,98, Scott Parkway,NSW,Australia,10
3192,8385, Lien Drive,Victoria,Australia,10
3015,24919, Artisan Court,Victoria,Australia,8
2170,37093, Manitowish Center,NSW,Australia,10
4221,9, Monterey Point,QLD,Australia,10
2233,6, Mariners Cove Center,NSW,Australia,10
2145,572, Gerald Trail,NSW,Australia,7
2759,7, Farmco Trail,NSW,Australia,9
3121,19964, Nancy Drive,Victoria,Australia,8
4870,57, Columbus Road,QLD,Australia,5
3337,455, Hooker Lane,Victoria,Australia,2
2118,0777, Farwell Pass,NSW,Australia,10
2259,23, Glacier Hill Avenue,NSW,Australia,6
2760,8750, Lakewood Gardens Park,NSW,Australia,7
3150,0619, Dorton Plaza,Victoria,Australia,11
2770,3469, Service Road,NSW,Australia,5
2763,9, Dahle Place,NSW,Australia,9
2050,8, Dayton Park,NSW,Australia,9
3058,091, Farragut Crossing,Victoria,Australia,9
2074,70488, Logan Court,NSW,Australia,12
2120,0, Golf Lane,NSW,Australia,11
3812,663, Bellgrove Parkway,Victoria,Australia,8
2147,9907, Morningstar Pass,NSW,Australia,9
3111,29, South Point,Victoria,Australia,9
2567,91, Eagle Crest Circle,NSW,Australia,9
3012,781, Dorton Avenue,Victoria,Australia,10
4217,47, Dwight Road,QLD,Australia,8
2197,6674, Russell Center,NSW,Australia,9
2142,84041, Holy Cross Circle,NSW,Australia,8
2340,340, Northview Circle,NSW,Australia,4
2320,74011, Manufacturers Street,NSW,Australia,6
2155,30991, Macpherson Parkway,NSW,Australia,9
2046,40504, Tennyson Drive,NSW,Australia,9
3162,76369, Ridge Oak Place,Victoria,Australia,9
2037,51188, Annamark Hill,NSW,Australia,9
2428,00976, Sundown Lane,NSW,Australia,3
3141,87, Stone Corner Park,Victoria,Australia,7
3178,9, Westridge Road,Victoria,Australia,9
3564,4671, Buell Trail,Victoria,Australia,2
3550,3743, Melody Avenue,Victoria,Australia,4
3070,8670, Pine View Street,Victoria,Australia,11
3775,31, Twin Pines Trail,Victoria,Australia,10
3004,11731, ,Victoria,Australia,9
4226,411, Lien Place,QLD,Australia,10
2026,431, Ilene Center,NSW,Australia,10
3185,4, Pond Parkway,Victoria,Australia,9
2015,61293, Delladonna Way,NSW,Australia,9
3012,6390, Truax Park,Victoria,Australia,9
2447,470, Bunting Center,NSW,Australia,3
3143,02, Boyd Crossing,Victoria,Australia,7
3910,2639, Brown Road,Victoria,Australia,7
3621,0897, Little Fleur Way,Victoria,Australia,8
4702,353, Stuart Trail,QLD,Australia,3
2133,9, Rowland Road,NSW,Australia,10
3075,830, Summit Center,Victoria,Australia,7
2069,4754, Moulton Alley,NSW,Australia,9
3911,808, Debra Center,Victoria,Australia,10
2250,8739, Service Park,NSW,Australia,8
2487,4, Thackeray Pass,NSW,Australia,9
4123,9, Bayside Hill,QLD,Australia,6
2151,20373, Kensington Pass,NSW,Australia,8
2428,7, Hooker Place,NSW,Australia,3
3156,089, Old Shore Point,Victoria,Australia,8
3126,5723, Raven Drive,Victoria,Australia,12
3152,08501, Kropf Trail,Victoria,Australia,10
2026,12845, Paget Lane,NSW,Australia,12
2233,1, Vidon Pass,NSW,Australia,8
2027,590, Hayes Court,NSW,Australia,11
4208,49503, Sachtjen Circle,QLD,Australia,8
3124,2595, Grover Drive,Victoria,Australia,12
2211,3169, Old Gate Point,NSW,Australia,9
2564,90974, Chinook Parkway,NSW,Australia,8
4221,75790, Towne Avenue,QLD,Australia,9
2049,62, Northport Lane,NSW,Australia,10
3690,84, Calypso Circle,Victoria,Australia,5
3282,81848, Amoth Road,Victoria,Australia,2
2068,27230, ,NSW,Australia,12
2261,1, Cordelia Alley,NSW,Australia,8
2576,80, Lakewood Street,NSW,Australia,10
2160,66834, Melby Way,NSW,Australia,9
3108,35796, Buhler Plaza,Victoria,Australia,10
2145,306, Longview Street,NSW,Australia,7
4165,39632, Michigan Park,QLD,Australia,5
2021,1038, Hayes Point,NSW,Australia,7
2218,46, Eastlawn Lane,NSW,Australia,11
3124,12, Monument Alley,Victoria,Australia,12
2145,64700, ,NSW,Australia,7
2190,999, Huxley Hill,NSW,Australia,10
4211,311, Emmet Point,QLD,Australia,7
3170,000, Jana Hill,Victoria,Australia,9
2170,7671, Oak Valley Junction,NSW,Australia,9
3130,8304, Derek Park,Victoria,Australia,10
2337,8635, Cody Crossing,NSW,Australia,6
2307,20, Debs Road,NSW,Australia,4
2121,858, Independence Terrace,NSW,Australia,10
2761,142, Cambridge Place,NSW,Australia,8
2340,20198, Hansons Plaza,NSW,Australia,2
2745,04678, Elka Crossing,NSW,Australia,9
4127,5, Farmco Junction,QLD,Australia,7
2716,2, East Circle,NSW,Australia,1
3168,1949, Pepper Wood Pass,Victoria,Australia,6
3076,7901, Park Meadow Plaza,Victoria,Australia,7
2750,58, Maywood Place,NSW,Australia,9
2166,532, Bartillon Circle,NSW,Australia,7
2031,032, Kenwood Circle,NSW,Australia,9
3564,67, ,Victoria,Australia,4
2478,06008, Anthes Pass,NSW,Australia,8
4127,956, Mccormick Place,QLD,Australia,2
3016,6, Eggendart Circle,Victoria,Australia,7
2116,1, Service Alley,NSW,Australia,10
3356,62117, Trailsway Place,Victoria,Australia,1
2560,4, Graedel Parkway,NSW,Australia,8
4680,311, Chive Way,QLD,Australia,3
4740,9161, Hoepker Street,QLD,Australia,5
2760,19, Lakewood Gardens Way,NSW,Australia,9
2065,5861, Browning Park,NSW,Australia,8
2230,396, Butternut Point,NSW,Australia,12
2087,04, Hansons Street,NSW,Australia,11
4505,8601, Cardinal Court,QLD,Australia,8
2630,35631, Colorado Crossing,NSW,Australia,2
2225,446, Dottie Court,NSW,Australia,10
3121,37, Ilene Hill,Victoria,Australia,10
3013,909, Browning Crossing,Victoria,Australia,10
3136,8498, Hoepker Circle,Victoria,Australia,8
2111,7, Claremont Court,NSW,Australia,12
2209,64, Hayes Circle,NSW,Australia,11
2106,44, Bunting Parkway,NSW,Australia,10
3930,8, Pawling Alley,Victoria,Australia,8
3182,4, Carioca Way,Victoria,Australia,10
2097,4559, Stoughton Lane,NSW,Australia,10
2287,7046, Surrey Road,NSW,Australia,7
2291,58821, Warbler Crossing,NSW,Australia,9
2283,95, Delladonna Plaza,NSW,Australia,4
2305,8, Sommers Circle,NSW,Australia,7
2300,3, Lunder Place,NSW,Australia,10
4179,93098, Loftsgordon Pass,QLD,Australia,4
2539,61493, Manufacturers Junction,NSW,Australia,9
3207,1192, Declaration Hill,Victoria,Australia,8
2630,62, Cherokee Terrace,NSW,Australia,1
2154,01736, Saint Paul Way,NSW,Australia,11
2036,9816, Carberry Trail,NSW,Australia,11
2133,36912, Gina Pass,NSW,Australia,11
